State,15 Min Ago,Last Price,Buy Price,Sell Price
USD,478.68,478.68,478.68,478.68
CNY,2937.05,2937.05,2936.25,2937.05
SGD,605.39,605.39,605.22,605.39
HKD,3709.91,3709.91,3708.9,3709.91
CAD,526.72,526.72,526.58,526.72
NZD,582.26,582.26,582.1,582.26
AUD,524.61,524.61,524.46,524.61
GBP,297.4,297.4,297.32,297.4
DKK,2756.84,2756.84,2756.09,2756.84
SEK,3403.41,3403.41,3402.49,3403.41
CHF,447.19,447.19,447.07,447.19
BRL,1093.06,1093.06,1092.77,1093.06
EUR,370.13,370.13,370.03,370.13
RUB,17806.28,17806.28,17801.44,17806.28
PLN,1557.38,1557.38,1556.96,1557.38
THB,15398.04,15398.04,15393.86,15398.04
TWD,14340.68,14340.68,14336.79,14340.68
